sample_id,iteration,requested_at,latency_ms,success,distance_meters,duration_seconds,provider,degraded,failure_reason
M10,8,2026-08-09T16:48:31.295378500Z,1209,true,2336,249,AMAP,false,
L01,8,2026-08-09T16:48:32.505717300Z,1213,true,2995,872,AMAP,false,
L02,8,2026-08-09T16:48:33.719869400Z,1385,true,16946,1647,AMAP,false,
L03,8,2026-08-09T16:48:35.105495800Z,1228,true,3409,557,AMAP,false,
L04,8,2026-08-09T16:48:36.333786200Z,1669,true,4888,1438,AMAP,false,
L05,8,2026-08-09T16:48:38.001901300Z,2374,true,17285,1465,AMAP,false,
S01,9,2026-08-09T16:48:40.379423Z,1746,true,339,121,AMAP,false,
S02,9,2026-08-09T16:48:42.126489200Z,1672,true,1377,590,AMAP,false,
S03,9,2026-08-09T16:48:43.799581100Z,1169,true,264,42,AMAP,false,
S04,9,2026-08-09T16:48:44.969146Z,1157,true,506,83,AMAP,false,
S05,9,2026-08-09T16:48:46.125823700Z,2198,true,340,129,AMAP,false,
M01,9,2026-08-09T16:48:48.325239100Z,1172,true,1482,229,AMAP,false,
M02,9,2026-08-09T16:48:49.497926Z,2225,true,1458,217,AMAP,false,
M03,9,2026-08-09T16:48:51.723790Z,2180,true,2020,387,AMAP,false,
M04,9,2026-08-09T16:48:53.902307400Z,1184,true,1508,284,AMAP,false,
M05,9,2026-08-09T16:48:55.089561400Z,1152,true,2242,363,AMAP,false,
M06,9,2026-08-09T16:48:56.241852400Z,1189,true,1680,304,AMAP,false,
M07,9,2026-08-09T16:48:57.431546700Z,1671,true,2336,290,AMAP,false,
M08,9,2026-08-09T16:48:59.103427Z,1201,true,2327,456,AMAP,false,
M09,9,2026-08-09T16:49:00.304835500Z,1378,true,1545,259,AMAP,false,
M10,9,2026-08-09T16:49:01.683214600Z,1696,true,2336,249,AMAP,false,
L01,9,2026-08-09T16:49:03.379882300Z,2211,true,2995,872,AMAP,false,
L02,9,2026-08-09T16:49:05.591388700Z,3514,true,16946,1646,AMAP,false,
L03,9,2026-08-09T16:49:09.105653500Z,1382,true,3409,557,AMAP,false,
L04,9,2026-08-09T16:49:10.488235200Z,1654,true,4888,1438,AMAP,false,
L05,9,2026-08-09T16:49:12.142008400Z,1458,true,17285,1465,AMAP,false,
S01,10,2026-08-09T16:49:13.601416100Z,2687,true,339,121,AMAP,false,
S02,10,2026-08-09T16:49:16.287850600Z,1168,true,1377,590,AMAP,false,
S03,10,2026-08-09T16:49:17.457998400Z,1282,true,264,28,AMAP,false,
S04,10,2026-08-09T16:49:18.740922500Z,1205,true,506,83,AMAP,false,
S05,10,2026-08-09T16:49:19.945924600Z,1803,true,340,129,AMAP,false,
M01,10,2026-08-09T16:49:21.750101600Z,1702,true,1482,229,AMAP,false,
M02,10,2026-08-09T16:49:23.452638500Z,1244,true,1458,211,AMAP,false,
M03,10,2026-08-09T16:49:24.697192200Z,1673,true,2020,387,AMAP,false,
M04,10,2026-08-09T16:49:26.370934600Z,2696,true,1508,284,AMAP,false,
M05,10,2026-08-09T16:49:29.068141900Z,1648,true,2242,363,AMAP,false,
M06,10,2026-08-09T16:49:30.715378400Z,1182,true,1680,299,AMAP,false,
M07,10,2026-08-09T16:49:31.899219400Z,1162,true,2336,290,AMAP,false,
M08,10,2026-08-09T16:49:33.061230200Z,1687,true,2327,445,AMAP,false,
M09,10,2026-08-09T16:49:34.749269300Z,2196,true,1545,259,AMAP,false,
M10,10,2026-08-09T16:49:36.945682Z,2234,true,2336,249,AMAP,false,
L01,10,2026-08-09T16:49:39.179565600Z,1359,true,2995,872,AMAP,false,
L02,10,2026-08-09T16:49:40.540028600Z,1563,true,16946,1594,AMAP,false,
L03,10,2026-08-09T16:49:42.103845800Z,2212,true,3409,566,AMAP,false,
L04,10,2026-08-09T16:49:44.315601300Z,1184,true,4888,1438,AMAP,false,
L05,10,2026-08-09T16:49:45.499931400Z,1955,true,17285,1460,AMAP,false,
